latitude,longitude,location_name,size_m2,price,bedrooms,bathrooms,property_type,condition,near_school,near_hospital,near_market,parking,security_rating,listing_type
9.614424,41.72383,Dire Dawa Industrial Park,1,129.0,3,2,Villa,needs renovation,1,1,1,1,2,rent
9.613927,41.724891,Dire Dawa Industrial Park,1,82.0,2,1,Apartment,needs renovation,1,1,0,1,1,rent
9.599281,41.870577,Ashewa Downtown Market Dire Dawa,1,468.0,5,5,House,needs renovation,1,0,1,0,1,rent
9.584695,41.867076,Dechatu River,1,406.0,4,3,House,needs renovation,0,1,0,1,1,rent
9.588439,41.855178,Gende Kore Market,1,497.0,4,3,House,good,1,1,0,1,1,rent
9.591273,41.866076,Megala,1,446.0,3,5,House,needs renovation,0,1,1,1,5,rent
9.614796,41.723619,Dire Dawa Industrial Park,1,205.0,5,5,Villa,good,0,0,0,1,1,rent
9.591309,41.860912,Kezira,1,216.0,1,2,Apartment,needs renovation,0,1,0,1,1,rent
9.628003,41.772005,Dire Dawa Railway Station,1,266.0,4,2,Apartment,new,1,1,0,1,4,rent
9.595478,41.878994,Legehare,1,279.0,1,2,Apartment,new,0,1,1,1,1,rent
9.590561,41.865508,Megala,1,507.0,3,3,Apartment,good,1,1,0,1,5,rent
9.58397,41.864793,Kefira Market,1,482.0,3,4,House,good,0,0,0,1,3,rent
9.587437,41.855437,Gende Kore Market,1,532.0,3,5,Villa,new,1,1,1,0,1,rent
9.614138,41.724494,Dire Dawa Industrial Park,1,190.0,4,3,Apartment,new,0,0,1,0,5,rent
9.591207,41.865583,Megala,1,640.0,6,4,House,needs renovation,1,0,1,0,4,rent
9.613765,41.723634,Dire Dawa Industrial Park,1,69.0,1,2,Apartment,needs renovation,1,0,0,1,2,rent
9.614191,41.724789,Dire Dawa Industrial Park,1,158.0,4,3,Apartment,good,0,1,1,1,3,rent
9.593109,41.860949,Sabian,1,395.0,3,2,Apartment,needs renovation,0,0,1,1,5,rent
9.588211,41.85623,Gende Kore Market,1,322.0,2,2,Apartment,good,1,1,1,0,1,rent
9.584751,41.866081,Kefira Market,1,774.0,5,4,House,new,1,1,1,1,5,rent
9.604729,41.858887,Addis Ketema,1,463.0,4,1,Apartment,good,0,1,0,0,2,rent
9.589932,41.866877,Megala,1,446.0,3,5,House,needs renovation,1,0,0,0,5,rent
9.591307,41.861515,Sabian,1,339.0,2,1,Apartment,good,0,1,1,1,1,rent
9.591228,41.860369,Kezira,1,572.0,4,4,House,new,0,0,1,1,1,rent
9.591527,41.86597,Megala,1,950.0,6,5,Villa,good,1,0,0,0,5,rent
9.58559,41.864518,Kefira Market,1,363.0,2,2,Apartment,new,0,1,1,1,1,rent
9.59647,41.879656,Legehare,1,203.0,1,3,Apartment,needs renovation,1,0,0,0,1,rent
9.627581,41.772249,Dire Dawa Railway Station,1,144.0,1,3,Apartment,good,0,0,1,1,5,rent
9.592299,41.860915,Sabian,1,566.0,6,2,House,needs renovation,1,1,1,0,2,rent
9.596253,41.879626,Legehare,1,468.0,4,1,Apartment,good,0,0,0,1,2,rent
9.59143,41.860121,Sabian,1,315.0,2,2,Apartment,needs renovation,1,1,1,1,4,rent
9.587856,41.856892,Gende Kore Market,1,624.0,5,4,Villa,needs renovation,0,0,0,0,5,rent
9.613727,41.725274,Dire Dawa Industrial Park,1,142.0,3,2,Apartment,new,0,0,0,1,2,rent
9.61698,41.780602,Melka Jebdu,1,217.0,3,3,Apartment,new,0,0,0,1,1,rent
9.599586,41.869813,Ashewa Downtown Market Dire Dawa,1,560.0,5,2,Villa,needs renovation,1,0,1,1,2,rent
9.617082,41.781075,Melka Jebdu,1,158.0,3,1,Apartment,needs renovation,0,1,0,1,1,rent
9.583556,41.866976,Dechatu River,1,449.0,4,4,House,needs renovation,0,0,1,1,3,rent
9.5912,41.860725,Sabian,1,550.0,4,2,House,good,0,1,1,1,2,rent
9.590541,41.866499,Megala,1,844.0,7,4,House,new,0,1,0,1,1,rent
9.590332,41.865049,Megala,1,465.0,2,1,Apartment,new,0,1,1,0,5,rent
9.588384,41.856028,Gende Kore Market,1,328.0,1,1,Apartment,new,1,0,1,0,4,rent
9.613768,41.724395,Dire Dawa Industrial Park,1,164.0,5,4,Villa,needs renovation,1,0,0,0,1,rent
9.60572,41.859036,Addis Ketema,1,685.0,6,5,House,new,1,0,0,0,1,rent
9.591386,41.86002,Kezira,1,447.0,3,2,Apartment,good,1,0,1,1,3,rent
9.584111,41.866389,Dechatu River,1,798.0,5,3,Villa,good,0,1,1,1,5,rent
9.599889,41.869708,Ashewa Downtown Market Dire Dawa,1,678.0,7,3,House,needs renovation,0,1,0,0,4,rent
9.585338,41.866686,Dechatu River,1,945.0,6,5,Villa,new,1,1,1,1,4,rent
9.615616,41.724258,Dire Dawa Industrial Park,1,209.0,4,3,House,new,1,1,1,1,5,rent
9.584432,41.865315,Kefira Market,1,562.0,4,3,House,good,0,1,1,0,3,rent
9.587692,41.856773,Gende Kore Market,1,387.0,3,1,Apartment,good,1,1,0,1,1,rent
9.588227,41.855063,Gende Kore Market,1,746.0,5,4,Villa,new,1,1,0,0,2,rent
9.604622,41.858011,Addis Ketema,1,499.0,6,2,House,needs renovation,1,1,1,0,1,rent
9.60549,41.859051,Addis Ketema,1,278.0,1,2,Apartment,good,1,1,1,0,3,rent
9.628312,41.773369,Dire Dawa Railway Station,1,279.0,4,4,House,new,1,1,0,0,3,rent
9.592808,41.859785,Sabian,1,360.0,3,3,Apartment,needs renovation,1,1,0,1,3,rent
9.59312,41.860007,Sabian,1,722.0,4,2,Villa,new,1,1,0,0,3,rent
9.592977,41.859163,Kezira,1,547.0,4,1,Apartment,good,1,0,1,1,4,rent
9.60002,41.869918,Ashewa Downtown Market Dire Dawa,1,805.0,7,3,Villa,needs renovation,1,0,1,1,5,rent
9.617634,41.781284,Melka Jebdu,1,230.0,4,2,Apartment,good,0,0,0,1,1,rent
9.587752,41.855741,Gende Kore Market,1,285.0,1,2,Apartment,good,1,0,0,0,3,rent
9.617851,41.780487,Melka Jebdu,1,296.0,6,5,Villa,needs renovation,1,0,0,0,1,rent
9.584827,41.866149,Kefira Market,1,495.0,3,3,Villa,good,1,0,1,1,1,rent
9.628159,41.772786,Dire Dawa Railway Station,1,125.0,2,1,Apartment,needs renovation,1,1,0,0,2,rent
9.627506,41.771918,Dire Dawa Railway Station,1,232.0,5,3,House,needs renovation,1,1,0,1,3,rent
9.588758,41.855669,Gende Kore Market,1,343.0,1,3,Apartment,new,0,0,1,0,5,rent
9.613863,41.723736,Dire Dawa Industrial Park,1,272.0,7,3,House,good,0,1,1,0,5,rent
9.604751,41.859089,Addis Ketema,1,510.0,4,3,Apartment,good,0,1,1,0,4,rent
9.616582,41.780788,Melka Jebdu,1,166.0,3,3,Apartment,needs renovation,0,1,1,0,2,rent
9.598472,41.869709,Ashewa Downtown Market Dire Dawa,1,636.0,3,3,Villa,new,1,0,0,1,4,rent
9.591972,41.860457,Sabian,1,629.0,7,3,House,needs renovation,0,1,1,0,2,rent
9.596339,41.879577,Legehare,1,728.0,6,2,House,new,0,0,0,1,2,rent
9.604211,41.857815,Addis Ketema,1,233.0,1,1,Apartment,needs renovation,1,1,0,1,4,rent
9.618129,41.781085,Melka Jebdu,1,407.0,6,5,Villa,new,1,0,1,0,1,rent
9.614457,41.724963,Dire Dawa Industrial Park,1,172.0,3,3,House,new,0,0,0,0,4,rent
9.604904,41.858996,Addis Ketema,1,673.0,5,3,House,new,1,1,0,0,3,rent
9.590305,41.865433,Megala,1,537.0,4,2,Apartment,new,0,0,1,1,1,rent
9.592863,41.860476,Sabian,1,904.0,5,2,Villa,new,1,0,1,1,5,rent
9.583712,41.866943,Dechatu River,1,550.0,6,5,House,needs renovation,0,1,1,0,2,rent
9.584005,41.86593,Dechatu River,1,635.0,4,3,Villa,new,1,0,0,0,1,rent
9.587851,41.855149,Gende Kore Market,1,217.0,1,2,Apartment,needs renovation,1,1,1,1,2,rent
9.596177,41.879032,Legehare,1,558.0,3,4,House,new,1,0,1,0,5,rent
9.588353,41.856866,Gende Kore Market,1,627.0,5,3,House,good,1,1,0,0,3,rent
9.591974,41.860262,Sabian,1,726.0,5,2,House,new,1,0,0,1,3,rent
9.605427,41.859378,Addis Ketema,1,629.0,7,2,Villa,needs renovation,1,0,1,0,1,rent
9.59627,41.878119,Legehare,1,334.0,2,2,Apartment,good,0,0,0,1,2,rent
9.617019,41.781394,Melka Jebdu,1,238.0,3,4,House,new,1,1,1,1,1,rent
9.591443,41.860568,Kezira,1,492.0,3,3,Apartment,new,1,1,0,1,3,rent
9.584814,41.867518,Dechatu River,1,437.0,3,1,Apartment,good,0,0,1,0,3,rent
9.591986,41.861416,Sabian,1,326.0,3,2,Apartment,needs renovation,0,1,1,1,1,rent
9.628613,41.77246,Dire Dawa Railway Station,1,288.0,5,2,House,new,1,1,1,1,1,rent
9.627503,41.772418,Dire Dawa Railway Station,1,329.0,5,2,Villa,good,1,0,0,0,3,rent
9.61507,41.724776,Dire Dawa Industrial Park,1,127.0,4,2,Apartment,needs renovation,1,1,1,0,3,rent
9.59145,41.860282,Sabian,1,825.0,5,2,Villa,new,0,0,0,0,3,rent
9.627401,41.771844,Dire Dawa Railway Station,1,138.0,2,3,Apartment,needs renovation,1,1,1,1,4,rent
9.59203,41.860469,Kezira,1,539.0,3,2,Apartment,new,1,0,1,0,5,rent
9.627574,41.772325,Dire Dawa Railway Station,1,358.0,6,5,House,new,1,0,0,0,3,rent
9.585326,41.865698,Kefira Market,1,264.0,2,2,Apartment,needs renovation,0,0,1,1,1,rent
9.599337,41.871046,Ashewa Downtown Market Dire Dawa,1,919.0,7,2,Villa,good,0,0,0,0,3,rent
9.584448,41.867622,Dechatu River,1,825.0,7,2,Villa,good,1,1,0,1,1,rent
9.591927,41.859888,Sabian,1,550.0,4,1,Apartment,new,1,0,1,0,2,rent
9.627802,41.773539,Dire Dawa Railway Station,1,208.0,4,2,Apartment,good,1,0,0,0,1,rent
9.591245,41.860897,Kezira,1,687.0,5,3,House,good,0,0,1,1,4,rent
9.592292,41.859798,Kezira,1,519.0,4,3,House,good,0,1,0,0,1,rent
9.617738,41.780213,Melka Jebdu,1,333.0,4,3,Villa,new,1,1,1,1,2,rent
9.627597,41.771917,Dire Dawa Railway Station,1,188.0,3,1,Apartment,good,1,1,1,1,2,rent
9.617345,41.781031,Melka Jebdu,1,362.0,5,2,Villa,new,1,1,0,0,1,rent
9.584726,41.867222,Dechatu River,1,698.0,4,2,Villa,good,0,0,1,0,5,rent
9.592771,41.860388,Sabian,1,462.0,4,5,House,needs renovation,1,0,0,0,3,rent
9.595813,41.878945,Legehare,1,386.0,2,2,Apartment,new,0,1,0,0,3,rent
9.627738,41.771896,Dire Dawa Railway Station,1,266.0,4,4,House,good,0,0,0,1,4,rent
9.599862,41.871096,Ashewa Downtown Market Dire Dawa,1,564.0,4,2,Villa,needs renovation,1,1,1,1,5,rent
9.584117,41.865496,Kefira Market,1,639.0,4,4,Villa,good,0,0,1,1,3,rent
9.59148,41.866533,Megala,1,422.0,2,1,Apartment,good,1,0,1,1,5,rent
9.588463,41.856216,Gende Kore Market,1,374.0,3,3,Apartment,needs renovation,1,0,0,0,5,rent
9.584482,41.865296,Kefira Market,1,581.0,3,2,House,new,1,0,1,0,5,rent
9.605741,41.858883,Addis Ketema,1,463.0,4,4,Villa,needs renovation,1,0,1,1,2,rent
9.591636,41.860625,Kezira,1,668.0,6,4,House,good,0,1,0,1,1,rent
9.584097,41.864591,Kefira Market,1,367.0,3,1,Apartment,needs renovation,1,0,0,1,4,rent
9.590896,41.866738,Megala,1,727.0,6,2,House,good,1,0,0,1,2,rent
9.596654,41.879317,Legehare,1,235.0,1,3,Apartment,needs renovation,0,0,1,1,4,rent
9.591277,41.859452,Kezira,1,541.0,3,2,House,new,1,0,0,1,3,rent
9.603897,41.859341,Addis Ketema,1,688.0,6,2,House,good,0,0,1,1,3,rent
9.585318,41.865773,Kefira Market,1,548.0,3,3,Villa,good,1,1,0,1,3,rent
9.627633,41.772177,Dire Dawa Railway Station,1,297.0,7,4,Villa,needs renovation,1,0,1,0,1,rent
9.590183,41.866456,Megala,1,1010.0,7,3,Villa,new,1,0,0,0,2,rent
9.592543,41.86022,Sabian,1,571.0,3,2,House,new,1,0,0,1,4,rent
9.59126,41.861248,Sabian,1,471.0,3,3,Villa,needs renovation,0,1,1,1,4,rent
9.583712,41.866284,Dechatu River,1,581.0,5,5,House,good,1,1,1,1,1,rent
9.600017,41.869759,Ashewa Downtown Market Dire Dawa,1,647.0,5,5,House,good,1,1,0,1,3,rent
9.58418,41.864737,Kefira Market,1,505.0,3,2,House,new,0,1,1,1,2,rent
9.603988,41.858339,Addis Ketema,1,402.0,3,4,House,needs renovation,0,1,0,0,5,rent
9.617068,41.781414,Melka Jebdu,1,322.0,4,3,House,new,1,0,1,1,4,rent
9.584194,41.865263,Kefira Market,1,264.0,2,2,Apartment,needs renovation,0,0,1,0,1,rent
9.583956,41.865258,Kefira Market,1,402.0,2,3,Apartment,new,1,1,1,0,3,rent
9.584309,41.865628,Kefira Market,1,514.0,5,2,House,needs renovation,0,1,0,0,3,rent
9.591739,41.865815,Megala,1,557.0,3,2,Apartment,new,0,1,0,1,5,rent
9.617415,41.780449,Melka Jebdu,1,145.0,1,3,Apartment,good,1,1,0,1,3,rent
9.614757,41.723909,Dire Dawa Industrial Park,1,69.0,1,2,Apartment,needs renovation,0,1,1,1,2,rent
9.587091,41.85638,Gende Kore Market,1,719.0,4,3,Villa,new,0,0,1,0,4,rent
9.628715,41.771644,Dire Dawa Railway Station,1,379.0,5,5,Villa,new,1,1,0,1,4,rent
9.604065,41.859438,Addis Ketema,1,457.0,3,2,Villa,needs renovation,1,1,0,1,5,rent
9.592398,41.859745,Kezira,1,590.0,6,2,House,needs renovation,0,0,0,0,3,rent
9.617856,41.78019,Melka Jebdu,1,245.0,4,2,House,needs renovation,1,1,0,0,5,rent
9.605408,41.859237,Addis Ketema,1,729.0,7,4,Villa,needs renovation,1,0,0,1,4,rent
9.59114,41.866987,Megala,1,582.0,6,4,House,needs renovation,0,0,1,1,2,rent
9.617562,41.780342,Melka Jebdu,1,131.0,1,1,Apartment,good,1,1,0,0,1,rent
9.591406,41.866585,Megala,1,606.0,3,2,Villa,good,1,0,1,1,4,rent
9.591644,41.860462,Sabian,1,786.0,5,2,Villa,new,1,1,0,0,2,rent
9.59678,41.878787,Legehare,1,535.0,5,4,Villa,needs renovation,1,1,0,1,2,rent
9.604227,41.858785,Addis Ketema,1,291.0,1,1,Apartment,good,1,1,0,1,4,rent
9.589888,41.865594,Megala,1,247.0,1,2,Apartment,needs renovation,0,1,0,1,3,rent
9.584127,41.867814,Dechatu River,1,396.0,3,2,Apartment,good,0,1,0,0,1,rent
9.584755,41.864707,Kefira Market,1,370.0,4,1,Apartment,needs renovation,0,1,0,0,1,rent
9.595283,41.878178,Legehare,1,930.0,7,2,House,new,0,0,1,0,5,rent
9.584562,41.866571,Dechatu River,1,291.0,2,2,Apartment,needs renovation,0,0,1,1,3,rent
9.591907,41.860596,Sabian,1,600.0,5,3,Villa,needs renovation,0,0,1,0,3,rent
9.593079,41.860085,Sabian,1,672.0,6,5,House,good,1,0,1,0,1,rent
9.627932,41.771691,Dire Dawa Railway Station,1,357.0,6,2,House,good,1,0,0,0,5,rent
9.59147,41.865899,Megala,1,424.0,2,2,Apartment,new,0,0,1,1,3,rent
9.604156,41.858852,Addis Ketema,1,779.0,6,2,Villa,new,0,0,0,0,1,rent
9.586975,41.856726,Gende Kore Market,1,850.0,6,5,House,new,1,0,1,0,5,rent
9.604376,41.858631,Addis Ketema,1,641.0,7,4,House,needs renovation,1,0,0,0,4,rent
9.614932,41.724684,Dire Dawa Industrial Park,1,157.0,4,1,Apartment,new,0,0,1,1,1,rent
9.60414,41.858778,Addis Ketema,1,685.0,6,5,House,new,0,1,1,1,1,rent
9.618024,41.781656,Melka Jebdu,1,289.0,7,3,House,needs renovation,0,0,1,0,1,rent
9.599668,41.869755,Ashewa Downtown Market Dire Dawa,1,551.0,3,2,Villa,good,1,1,1,1,3,rent
9.583834,41.867535,Dechatu River,1,458.0,3,3,Apartment,good,1,1,0,1,4,rent
9.605102,41.85812,Addis Ketema,1,801.0,7,5,House,new,1,0,1,0,2,rent
9.587934,41.855724,Gende Kore Market,1,644.0,3,4,Villa,new,1,1,1,0,5,rent
9.591673,41.860601,Kezira,1,809.0,6,5,House,good,1,0,0,1,5,rent
9.588558,41.856174,Gende Kore Market,1,862.0,7,2,House,new,1,1,1,0,3,rent
9.596921,41.878008,Legehare,1,735.0,5,2,Villa,good,1,1,0,1,4,rent
9.598734,41.871166,Ashewa Downtown Market Dire Dawa,1,636.0,3,3,Villa,new,1,0,1,1,4,rent
9.595522,41.879745,Legehare,1,485.0,3,3,House,new,0,0,1,0,2,rent
9.591916,41.860804,Kezira,1,270.0,1,3,Apartment,good,1,1,1,1,1,rent
9.628943,41.773622,Dire Dawa Railway Station,1,302.0,4,4,Villa,new,1,0,0,1,2,rent
9.598777,41.869674,Ashewa Downtown Market Dire Dawa,1,566.0,4,3,Apartment,new,1,0,0,1,3,rent
9.591149,41.866899,Megala,1,407.0,3,4,House,needs renovation,0,0,0,0,3,rent
9.628748,41.772826,Dire Dawa Railway Station,1,179.0,3,2,Apartment,good,0,1,0,0,1,rent
9.618309,41.7807,Melka Jebdu,1,289.0,3,2,House,new,1,1,1,0,5,rent
9.599738,41.870693,Ashewa Downtown Market Dire Dawa,1,294.0,1,2,Apartment,good,0,0,1,1,3,rent
9.584844,41.865025,Kefira Market,1,578.0,6,4,House,needs renovation,1,1,0,1,3,rent
9.616494,41.781044,Melka Jebdu,1,167.0,1,3,Apartment,new,0,1,0,1,4,rent
9.61471,41.724874,Dire Dawa Industrial Park,1,164.0,3,5,House,new,1,0,1,0,3,rent
9.58539,41.866255,Kefira Market,1,560.0,4,4,House,new,1,1,1,1,1,rent
9.585196,41.865091,Kefira Market,1,677.0,4,5,House,new,1,0,0,0,5,rent
9.590106,41.866094,Megala,1,418.0,3,1,Apartment,good,0,0,0,1,1,rent
9.59162,41.861022,Sabian,1,1032.0,7,3,Villa,new,0,1,0,1,3,rent
9.629231,41.772341,Dire Dawa Railway Station,1,232.0,5,3,House,needs renovation,1,1,0,0,3,rent
9.61382,41.723757,Dire Dawa Industrial Park,1,119.0,3,3,Apartment,needs renovation,1,1,0,1,5,rent
9.618371,41.781584,Melka Jebdu,1,395.0,6,4,House,new,1,1,1,1,3,rent
9.599611,41.870507,Ashewa Downtown Market Dire Dawa,1,451.0,4,1,Apartment,needs renovation,1,0,1,0,5,rent
9.584905,41.867874,Dechatu River,1,528.0,5,2,Villa,needs renovation,1,0,1,1,1,rent
9.590144,41.866157,Megala,1,517.0,5,2,House,needs renovation,1,1,0,1,2,rent
9.59179,41.859295,Kezira,1,356.0,3,5,House,needs renovation,1,1,0,1,1,rent
9.5993,41.870129,Ashewa Downtown Market Dire Dawa,1,805.0,7,2,Villa,needs renovation,0,0,1,0,5,rent
9.585654,41.865892,Kefira Market,1,803.0,7,5,House,good,1,0,1,1,3,rent
9.618417,41.781103,Melka Jebdu,1,475.0,7,3,Villa,new,1,1,1,1,2,rent
9.604565,41.857746,Addis Ketema,1,244.0,1,2,Apartment,needs renovation,0,0,0,1,5,rent
9.587873,41.856368,Gende Kore Market,1,392.0,2,1,Apartment,new,1,1,1,1,3,rent
9.592812,41.859536,Kezira,1,431.0,3,3,House,needs renovation,0,0,1,1,5,rent
9.592345,41.860155,Kezira,1,261.0,1,1,Apartment,needs renovation,0,0,0,1,5,rent
9.618178,41.781678,Melka Jebdu,1,428.0,6,2,Villa,good,1,1,1,0,4,rent
9.584589,41.867866,Dechatu River,1,527.0,3,3,Apartment,new,0,0,1,1,5,rent
9.592205,41.860058,Sabian,1,747.0,7,4,House,good,1,0,1,0,1,rent
9.587783,41.855912,Gende Kore Market,1,719.0,4,4,Villa,new,0,0,0,0,4,rent
9.584829,41.865768,Kefira Market,1,487.0,4,5,Villa,needs renovation,1,0,0,0,2,rent
9.605894,41.85932,Addis Ketema,1,397.0,3,3,Apartment,good,1,1,1,0,2,rent
9.591749,41.866568,Megala,1,507.0,3,1,Apartment,good,0,1,1,1,5,rent
9.614713,41.725422,Dire Dawa Industrial Park,1,246.0,6,2,House,new,1,0,1,0,3,rent
9.587702,41.855512,Gende Kore Market,1,575.0,4,2,Apartment,new,1,0,1,0,4,rent
9.595883,41.879268,Legehare,1,735.0,7,3,House,good,1,1,1,1,2,rent
9.592068,41.859308,Kezira,1,879.0,6,4,Villa,new,0,1,1,0,2,rent
9.592879,41.85934,Kezira,1,469.0,3,1,Apartment,new,1,0,1,0,2,rent
9.58757,41.855288,Gende Kore Market,1,328.0,1,3,Apartment,new,0,1,1,0,4,rent
9.62755,41.772186,Dire Dawa Railway Station,1,417.0,7,2,House,new,0,0,0,1,4,rent
9.604785,41.85827,Addis Ketema,1,291.0,1,1,Apartment,good,0,1,0,0,4,rent
9.583953,41.866852,Dechatu River,1,573.0,3,2,Villa,new,1,0,1,0,2,rent
9.596153,41.878238,Legehare,1,441.0,3,3,Apartment,good,0,0,1,0,4,rent
9.59555,41.878963,Legehare,1,676.0,4,2,Villa,new,1,0,1,1,3,rent
9.618232,41.781775,Melka Jebdu,1,138.0,1,1,Apartment,good,0,1,1,1,2,rent
9.591645,41.860176,Kezira,1,644.0,3,3,Villa,new,1,1,1,1,4,rent
9.59253,41.860827,Sabian,1,329.0,1,1,Apartment,good,0,1,0,0,5,rent
9.591928,41.860824,Sabian,1,545.0,3,5,House,new,0,0,0,0,3,rent
9.614864,41.725472,Dire Dawa Industrial Park,1,256.0,7,3,Villa,good,1,0,1,0,1,rent
9.593047,41.861457,Sabian,1,893.0,7,2,Villa,good,0,0,0,1,2,rent
9.596322,41.877878,Legehare,1,618.0,7,2,House,needs renovation,0,1,1,1,3,rent
9.58395,41.864602,Kefira Market,1,860.0,6,2,Villa,new,0,1,0,0,2,rent
9.627294,41.772498,Dire Dawa Railway Station,1,315.0,4,3,Villa,good,0,0,1,1,5,rent
9.592395,41.859998,Sabian,1,625.0,4,4,Villa,good,0,0,1,0,2,rent
9.592922,41.860737,Kezira,1,503.0,4,4,House,needs renovation,1,1,1,0,5,rent
9.58873,41.854998,Gende Kore Market,1,709.0,7,2,House,good,1,0,0,1,1,rent
9.596297,41.878803,Legehare,1,419.0,3,3,House,good,1,1,1,0,1,rent
9.58571,41.864575,Kefira Market,1,528.0,5,2,Villa,needs renovation,1,1,0,0,1,rent
9.592003,41.860939,Kezira,1,1020.0,7,3,Villa,good,1,0,1,0,5,rent
9.6172,41.780699,Melka Jebdu,1,329.0,5,3,Villa,good,0,1,0,1,1,rent
9.599835,41.870788,Ashewa Downtown Market Dire Dawa,1,732.0,7,2,House,good,1,0,1,1,1,rent
9.615047,41.723679,Dire Dawa Industrial Park,1,174.0,4,1,Apartment,new,0,0,1,1,3,rent
9.5959,41.878546,Legehare,1,447.0,5,2,House,needs renovation,1,1,1,0,1,rent
9.605275,41.85774,Addis Ketema,1,389.0,4,2,Apartment,needs renovation,0,0,0,1,3,rent
9.616609,41.780559,Melka Jebdu,1,260.0,3,3,Villa,good,1,1,0,1,2,rent
9.591255,41.859959,Kezira,1,516.0,3,5,House,new,1,1,0,0,2,rent
9.613783,41.724413,Dire Dawa Industrial Park,1,158.0,4,5,Villa,needs renovation,1,1,1,0,3,rent
9.591933,41.860931,Kezira,1,922.0,6,4,Villa,new,0,0,0,0,3,rent
9.587035,41.85495,Gende Kore Market,1,722.0,5,2,House,new,0,0,0,1,4,rent
9.627737,41.771811,Dire Dawa Railway Station,1,157.0,2,1,Apartment,good,1,1,0,1,2,rent
9.595686,41.879734,Legehare,1,254.0,1,2,Apartment,good,0,1,0,1,1,rent
